channel_id,spacecraft,anomaly_class,num_labeled_values,train_samples,test_samples,num_anomaly_sequences,num_anomaly_points,has_train_file,has_test_file,usable_as_channel_dataset
P-1,SMAP,"[contextual, contextual, contextual]",8505,2872,8505,3,748,True,True,True
S-1,SMAP,[point],7331,2818,7331,1,447,True,True,True
E-1,SMAP,"[contextual, contextual]",8516,2880,8516,2,506,True,True,True
E-2,SMAP,[point],8532,2880,8532,1,1397,True,True,True
E-3,SMAP,[point],8307,2880,8307,1,3212,True,True,True
E-4,SMAP,[point],8354,2880,8354,1,2811,True,True,True
E-5,SMAP,[point],8294,2880,8294,1,320,True,True,True
E-6,SMAP,[point],8300,2880,8300,1,65,True,True,True
E-7,SMAP,[point],8310,2769,8310,1,280,True,True,True
E-8,SMAP,[point],8532,2880,8532,1,622,True,True,True
E-9,SMAP,[point],8302,2880,8302,1,350,True,True,True
E-10,SMAP,"[contextual, contextual]",8505,2880,8505,2,320,True,True,True
E-11,SMAP,"[contextual, contextual]",8514,2880,8514,2,293,True,True,True
E-12,SMAP,"[contextual, contextual]",8512,2880,8512,2,581,True,True,True
E-13,SMAP,"[contextual, contextual, contextual]",8640,2880,8640,3,261,True,True,True
A-1,SMAP,[point],8640,2880,8640,1,84,True,True,True
D-1,SMAP,[point],8509,2849,8509,1,3258,True,True,True
P-2,SMAP,[point],8209,2821,8209,1,1225,True,True,True
P-3,SMAP,[point],8493,2855,8493,1,1335,True,True,True
D-2,SMAP,[point],8595,2880,8595,1,4217,True,True,True
D-3,SMAP,[point],8640,2880,8640,1,3275,True,True,True
D-4,SMAP,[point],8473,2833,8473,1,3247,True,True,True
A-2,SMAP,[contextual],7914,2648,7914,1,110,True,True,True
A-3,SMAP,[contextual],8205,2736,8205,1,185,True,True,True
A-4,SMAP,[contextual],8080,2690,8080,1,110,True,True,True
G-1,SMAP,[contextual],8469,2820,8469,1,120,True,True,True
G-2,SMAP,[point],7361,2478,7361,1,40,True,True,True
D-5,SMAP,[point],7628,2561,7628,1,50,True,True,True
D-6,SMAP,[point],7884,2594,7884,1,80,True,True,True
D-7,SMAP,[point],7642,2583,7642,1,2701,True,True,True
F-1,SMAP,[point],8584,2869,8584,1,100,True,True,True
P-4,SMAP,"[point, point, point]",7783,2609,7783,3,440,True,True,True
G-3,SMAP,[point],7907,2624,7907,1,50,True,True,True
T-1,SMAP,"[point, contextual]",8612,2875,8612,2,1534,True,True,True
T-2,SMAP,[point],8625,2855,8625,1,1784,True,True,True
D-8,SMAP,[point],7874,2602,7874,1,50,True,True,True
D-9,SMAP,[point],7406,2583,7406,1,1155,True,True,True
F-2,SMAP,[point],8626,2861,8626,1,2956,True,True,True
G-4,SMAP,[point],7632,2551,7632,1,30,True,True,True
T-3,SMAP,"[point, point]",8579,2876,8579,2,182,True,True,True
D-11,SMAP,[point],7431,2611,7431,1,60,True,True,True
D-12,SMAP,[point],7918,312,7918,1,2739,True,True,True
B-1,SMAP,[point],8044,2435,8044,1,70,True,True,True
G-6,SMAP,[point],8640,2881,8640,1,100,True,True,True
G-7,SMAP,"[contextual, point, contextual]",8029,2446,8029,3,265,True,True,True
P-7,SMAP,[contextual],8071,2853,8071,1,1650,True,True,True
R-1,SMAP,[point],7244,2874,7244,1,80,True,True,True
A-5,SMAP,[point],4693,705,4693,1,50,True,True,True
A-6,SMAP,[point],4453,682,4453,1,40,True,True,True
A-7,SMAP,[contextual],8631,2879,8631,1,2400,True,True,True
D-13,SMAP,[point],7663,1490,7663,1,160,True,True,True
P-2,SMAP,[point],8209,2821,8209,1,1120,True,True,True
A-8,SMAP,[contextual],8375,762,8375,1,3805,True,True,True
A-9,SMAP,[contextual],8434,762,8434,1,3864,True,True,True
F-3,SMAP,[contextual],8376,2880,8376,1,40,True,True,True
M-6,MSL,[point],2049,1565,2049,1,180,True,True,True
M-1,MSL,[contextual],2277,2209,2277,1,1140,True,True,True
M-2,MSL,[contextual],2277,2208,2277,1,1140,True,True,True
S-2,MSL,[point],1827,926,1827,1,10,True,True,True
P-10,MSL,[point],6100,4308,6100,1,130,True,True,True
T-4,MSL,[point],2217,2272,2217,1,68,True,True,True
T-5,MSL,[point],2218,2272,2218,1,25,True,True,True
F-7,MSL,"[contextual, contextual, contextual]",5054,2511,5054,3,420,True,True,True
M-3,MSL,[contextual],2127,2037,2127,1,250,True,True,True
M-4,MSL,[contextual],2038,2076,2038,1,250,True,True,True
M-5,MSL,[contextual],2303,2032,2303,1,300,True,True,True
P-15,MSL,[point],2856,3682,2856,1,20,True,True,True
C-1,MSL,"[point, contextual]",2264,2158,2264,2,310,True,True,True
C-2,MSL,"[point, contextual]",2051,764,2051,2,135,True,True,True
T-12,MSL,[contextual],2430,1145,2430,1,120,True,True,True
T-13,MSL,"[contextual, contextual]",2430,1145,2430,2,250,True,True,True
F-4,MSL,[point],3422,2244,3422,1,70,True,True,True
F-5,MSL,[point],3922,2598,3922,1,150,True,True,True
D-14,MSL,"[point, point]",2625,3675,2625,2,220,True,True,True
T-9,MSL,"[point, point]",1096,439,1096,2,110,True,True,True
P-14,MSL,[point],6100,2880,6100,1,180,True,True,True
T-8,MSL,"[contextual, contextual]",1519,748,1519,2,100,True,True,True
P-11,MSL,"[point, point]",3535,3969,3535,2,226,True,True,True
D-15,MSL,[point],2158,2074,2158,1,640,True,True,True
D-16,MSL,[contextual],2191,1451,2191,1,650,True,True,True
M-7,MSL,[point],2156,1587,2156,1,100,True,True,True
F-8,MSL,[contextual],2487,3342,2487,1,536,True,True,True
